op,t,f1,rec,prec,acc,auc,cm
recall>=0.70_tuned,0.29,0.5926,0.7018,0.5128,0.7893,0.8421,"[[166, 38], [17, 40]]"
abs_F1max_tuned,0.29,0.5926,0.7018,0.5128,0.7893,0.8421,"[[166, 38], [17, 40]]"
