model,thr,f1,rec,prec,acc,cm,beats_0632
SVM_RBF_fine,0.279,0.6274509803921569,0.8421052631578947,0.5,0.7816091954022989,"[[156, 48], [9, 48]]",False
SVM_isotonic_fine,0.305,0.5882352941176471,0.6140350877192983,0.5645161290322581,0.8122605363984674,"[[177, 27], [22, 35]]",False
CatBoost_isotonic_fine,0.56,0.5324675324675324,0.7192982456140351,0.422680412371134,0.7241379310344828,"[[148, 56], [16, 41]]",False
Vote3_soft_fine,0.705,0.5222222222222223,0.8245614035087719,0.3821138211382114,0.6704980842911877,"[[128, 76], [10, 47]]",False
Vote3_isotonic_fine,0.577,0.5490196078431373,0.7368421052631579,0.4375,0.735632183908046,"[[150, 54], [15, 42]]",False
