feature,svm_linear_coef,abs_coef
Receivables_Turnover,-2.862234611042788,2.862234611042788
Interest_Coverage_Ratio,-0.981527060286453,0.981527060286453
Operating_Profit_Margin,-0.5393467384843953,0.5393467384843953
Quick_Ratio,0.4554651135688717,0.4554651135688717
Current_Ratio,-0.2820884893160379,0.2820884893160379
PreTax_Profit_Margin,0.27276342135186626,0.27276342135186626
Net_Profit_Margin,0.23631561147336017,0.23631561147336017
Total_Debt_to_Equity,-0.19488830193734408,0.19488830193734408
Debt_Ratio,0.18933894074555965,0.18933894074555965
Gross_Profit_Margin,-0.17119540150193757,0.17119540150193757
ocf_to_finance_cost,-0.15844602959678894,0.15844602959678894
Cash_Ratio,-0.13702639159627578,0.13702639159627578
Long_Term_Debt_Ratio,-0.1365885702214417,0.1365885702214417
Free_Cash_Flow_to_Equity,-0.1277354997401897,0.1277354997401897
Asset_Turnover,-0.07419915003252837,0.07419915003252837
Free_Cash_Flow_to_Firm,-0.07035028269799576,0.07035028269799576
Return_on_Assets,-0.03820792305484465,0.03820792305484465
Debt_to_Equity,0.026635750952091294,0.026635750952091294
Operating_Cash_Flow_to_Total_Debt,-0.020534813387837584,0.020534813387837584
Return_on_Equity,-0.009703922186515735,0.009703922186515735
Inventory_Turnover,0.0012152672009616947,0.0012152672009616947
