experiment,feature_set,model,test_f1,test_recall,test_precision,test_auc,threshold,confusion_matrix
E15,Group_B_Financial_Health,"SVM_C2.0_gscale_cw{0: 1, 1: 2}",0.625,0.7017543859649122,0.5633802816901409,0.8630890952872378,0.42,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.03_cw{0: 1, 1: 2}",0.6218487394957983,0.6491228070175439,0.5967741935483871,0.85453216374269,0.53,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.03_cw{0: 1, 1: 2}",0.6212121212121212,0.7192982456140351,0.5466666666666666,0.8608531131750946,0.445,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.1_cw{0: 1, 1: 1}",0.6206896551724138,0.7894736842105263,0.5113636363636364,0.82593739250086,0.35,
E15,Group_B_Financial_Health,SVM_C8.0_g0.1_cwbalanced,0.6206896551724138,0.7894736842105263,0.5113636363636364,0.82593739250086,0.35,
E15,Group_B_Financial_Health,"SVM_C1.0_gscale_cw{0: 1, 1: 2}",0.6201550387596899,0.7017543859649122,0.5555555555555556,0.8572411420708634,0.43,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.03_cw{0: 1, 1: 2}",0.6190476190476191,0.6842105263157895,0.5652173913043478,0.8551771585827314,0.46,
E15,Group_B_Financial_Health,"SVM_C4.0_gscale_cw{0: 1, 1: 3}",0.6187050359712231,0.7543859649122807,0.524390243902439,0.8648090815273477,0.42,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.01_cw{0: 1, 1: 2}",0.6165413533834586,0.7192982456140351,0.5394736842105263,0.8624441004471964,0.49,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.1_cw{0: 1, 1: 3}",0.6165413533834586,0.7192982456140351,0.5394736842105263,0.8651530787753697,0.41,
E8,Group_F_Literature,RandomForest,0.6164,0.7895,0.5056,0.8639,0.34,"[[160, 44], [12, 45]]"
E15,Group_B_Financial_Health,SVM_C2.0_g0.01_cwbalanced,0.6153846153846154,0.7719298245614035,0.5116279069767442,0.8588321293429653,0.41,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.1_cw{0: 1, 1: 3}",0.6153846153846154,0.7017543859649122,0.547945205479452,0.858015135878913,0.475,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.01_cw{0: 1, 1: 1}",0.6153846153846154,0.7719298245614035,0.5116279069767442,0.8588321293429653,0.41,
E15,Group_B_Financial_Health,SVM_C0.5_g0.01_cwbalanced,0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8516511867905057,0.42,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.01_cw{0: 1, 1: 1}",0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8516511867905057,0.42,
E15,Group_B_Financial_Health,"SVM_C0.5_gscale_cw{0: 1, 1: 2}",0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8577571379428965,0.38,
