model,thr,c,f1,rec,prec,auc
"SVM_C2.0_g0.1_cw{0: 1, 1: 1}",0.315,0.6164,0.589041095890411,0.7543859649122807,0.48314606741573035,0.8323873409012728
SVM_C2.0_g0.1_cwbalanced,0.315,0.6164,0.589041095890411,0.7543859649122807,0.48314606741573035,0.8323873409012728
"SVM_C2.0_g0.1_cw{0: 1, 1: 2}",0.535,0.6167,0.6271186440677966,0.6491228070175439,0.6065573770491803,0.8690230478156175
"SVM_C2.0_g0.1_cw{0: 1, 1: 3}",0.385,0.625,0.6268656716417911,0.7368421052631579,0.5454545454545454,0.8704850361197111
"SVM_C4.0_gscale_cw{0: 1, 1: 1}",0.38,0.6099,0.5815602836879432,0.7192982456140351,0.4880952380952381,0.8355693154454764
SVM_C4.0_gscale_cwbalanced,0.38,0.6099,0.5815602836879432,0.7192982456140351,0.4880952380952381,0.8355693154454764
"SVM_C4.0_gscale_cw{0: 1, 1: 2}",0.48,0.6406,0.6333333333333333,0.6666666666666666,0.6031746031746031,0.8677760577915377
"SVM_C4.0_gscale_cw{0: 1, 1: 3}",0.42,0.6164,0.6187050359712231,0.7543859649122807,0.524390243902439,0.8648090815273477
"SVM_C4.0_g0.01_cw{0: 1, 1: 1}",0.37,0.6803,0.6258503401360545,0.8070175438596491,0.5111111111111111,0.8613691090471277
SVM_C4.0_g0.01_cwbalanced,0.37,0.6803,0.6258503401360545,0.8070175438596491,0.5111111111111111,0.8613691090471277
"SVM_C4.0_g0.01_cw{0: 1, 1: 2}",0.435,0.6667,0.6330935251798561,0.7719298245614035,0.5365853658536586,0.8617131062951495
"SVM_C4.0_g0.01_cw{0: 1, 1: 3}",0.555,0.6393,0.628099173553719,0.6666666666666666,0.59375,0.8591331269349843
"SVM_C4.0_g0.03_cw{0: 1, 1: 1}",0.3,0.6282,0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8445132438940489
SVM_C4.0_g0.03_cwbalanced,0.3,0.6282,0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8445132438940489
"SVM_C4.0_g0.03_cw{0: 1, 1: 2}",0.53,0.6496,0.6218487394957983,0.6491228070175439,0.5967741935483871,0.85453216374269
"SVM_C4.0_g0.03_cw{0: 1, 1: 3}",0.565,0.6387,0.5982905982905983,0.6140350877192983,0.5833333333333334,0.848813209494324
"SVM_C4.0_g0.1_cw{0: 1, 1: 1}",0.305,0.5921,0.6027397260273972,0.7719298245614035,0.4943820224719101,0.837719298245614
SVM_C4.0_g0.1_cwbalanced,0.305,0.5921,0.6027397260273972,0.7719298245614035,0.4943820224719101,0.837719298245614
"SVM_C4.0_g0.1_cw{0: 1, 1: 2}",0.215,0.589,0.5766871165644172,0.8245614035087719,0.44339622641509435,0.8673890608875129
